sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
340,05/01/2021 16:30:00,0.5,8.5,-49,-49,3.99
341,05/01/2021 16:40:00,0.5,8.5,-49,-49,3.99
342,05/01/2021 16:50:00,0.5,8.9,-49,-49,3.99
343,05/01/2021 17:00:00,0.5,8.5,-49,-49,3.99
344,05/01/2021 17:10:00,0.5,8.2,-49,-49,3.99
345,05/01/2021 17:20:00,0.5,7.5,-49,-49,3.99
346,05/01/2021 17:30:00,0.5,6.9,-49,-49,3.99
347,05/01/2021 17:40:00,0.5,6.5,-49,-49,3.99
348,05/01/2021 17:50:00,0.5,5.9,-49,-49,3.99
349,05/01/2021 18:00:00,0.5,5.6,-49,-49,3.99
350,05/01/2021 18:10:00,0.5,5.2,-49,-49,3.99
351,05/01/2021 18:20:00,0.5,4.9,-49,-49,3.99
352,05/01/2021 18:30:00,0.5,4.6,-49,-49,3.99
353,05/01/2021 18:40:00,0.5,4.2,-49,-49,3.99
354,05/01/2021 18:50:00,0.5,3.9,-49,-49,3.99
355,05/01/2021 19:00:00,0.5,3.5,-49,-49,3.99
356,05/01/2021 19:10:00,0.5,3.5,-49,-49,3.99
357,05/01/2021 19:20:00,0.5,3.2,-49,-49,3.99
358,05/01/2021 19:30:00,0.5,2.9,-49,-49,3.99
359,05/01/2021 19:40:00,0.5,2.9,-49,-49,3.99
360,05/01/2021 19:50:00,0.5,2.5,-49,-49,3.99
361,05/01/2021 20:00:00,0.5,2.2,-49,-49,3.99
362,05/01/2021 20:10:00,0.5,1.9,-49,-49,3.99
363,05/01/2021 20:20:00,0.5,1.9,-49,-49,3.99
364,05/01/2021 20:30:00,0.5,1.5,-49,-49,3.99
365,05/01/2021 20:40:00,0.5,1.5,-49,-49,3.99
366,05/01/2021 20:50:00,0.5,1.2,-50,-50,3.99
367,05/01/2021 21:00:00,0.5,1.2,-50,-50,3.99
368,05/01/2021 21:10:00,0.5,1.2,-50,-50,3.99
369,05/01/2021 21:20:00,0.5,1.2,-50,-50,3.99
370,05/01/2021 21:30:00,0.5,0.8,-50,-50,3.99
371,05/01/2021 21:40:00,0.5,0.8,-50,-50,3.99
372,05/01/2021 21:50:00,0.5,0.8,-50,-50,3.99
373,05/01/2021 22:00:00,0.5,0.8,-50,-50,3.99
374,05/01/2021 22:10:00,0.5,1.2,-50,-50,3.99
375,05/01/2021 22:20:00,0.5,1.2,-50,-50,3.99
376,05/01/2021 22:30:00,0.5,1.2,-50,-50,3.99
377,05/01/2021 22:40:00,0.5,1.2,-50,-50,3.99
378,05/01/2021 22:50:00,0.5,1.2,-50,-50,3.99
379,05/01/2021 23:00:00,0.5,1.2,-50,-50,3.99
380,05/01/2021 23:10:00,0.5,1.2,-50,-50,3.99
381,05/01/2021 23:20:00,0.5,1.2,-50,-50,3.99
382,05/01/2021 23:30:00,0.5,1.2,-50,-50,3.99
383,05/01/2021 23:40:00,0.5,1.2,-50,-50,3.99
384,05/01/2021 23:50:00,0.5,1.2,-50,-50,3.99
385,05/02/2021 00:00:00,0.5,1.2,-50,-50,3.99
386,05/02/2021 00:10:00,0.5,1.2,-50,-50,3.99
387,05/02/2021 00:20:00,0.5,1.2,-50,-50,3.99
388,05/02/2021 00:30:00,0.5,1.2,-50,-50,3.99
389,05/02/2021 00:40:00,0.5,0.8,-50,-50,3.99
390,05/02/2021 00:50:00,0.5,0.8,-50,-50,3.99
391,05/02/2021 01:00:00,0.5,0.8,-50,-50,3.99
392,05/02/2021 01:10:00,0.5,0.8,-50,-50,3.99
393,05/02/2021 01:20:00,0.5,0.5,-50,-50,3.99
394,05/02/2021 01:30:00,0.5,0.5,-49,-50,3.99
395,05/02/2021 01:40:00,0.5,0.5,-49,-49,3.99
396,05/02/2021 01:50:00,0.5,0.5,-49,-49,3.99
397,05/02/2021 02:00:00,0.5,0.5,-49,-49,3.99
398,05/02/2021 02:10:00,0.5,0.1,-49,-49,3.99
399,05/02/2021 02:20:00,0.5,0.1,-49,-49,3.99
400,05/02/2021 02:30:00,0.5,0.1,-49,-49,3.99
401,05/02/2021 02:40:00,0.5,0.1,-49,-49,3.99
402,05/02/2021 02:50:00,0.5,0.1,-49,-49,3.99
403,05/02/2021 03:00:00,0.5,-0.2,-49,-49,3.99
404,05/02/2021 03:10:00,0.5,-0.2,-49,-49,3.99
405,05/02/2021 03:20:00,0.5,-0.2,-49,-49,3.99
406,05/02/2021 03:30:00,0.5,0.1,-49,-49,3.99
407,05/02/2021 03:40:00,0.5,0.1,-49,-49,3.99
408,05/02/2021 03:50:00,0.5,0.1,-49,-49,3.99
409,05/02/2021 04:00:00,0.5,0.1,-49,-49,3.99
410,05/02/2021 04:10:00,0.5,0.1,-49,-49,3.99
411,05/02/2021 04:20:00,0.5,0.1,-49,-49,3.99
412,05/02/2021 04:30:00,0.5,0.1,-49,-49,3.99
413,05/02/2021 04:40:00,0.5,0.1,-49,-49,3.99
414,05/02/2021 04:50:00,0.5,0.1,-49,-49,3.99
415,05/02/2021 05:00:00,0.5,0.1,-49,-49,3.99
416,05/02/2021 05:10:00,0.5,0.1,-49,-49,3.99
417,05/02/2021 05:20:00,0.5,0.1,-49,-49,3.99
