datetime,wtrhgtavg_obs,CR _length_krtobtm(mm),stickup_ht(mm),blttotp_well(mm),CR_zerotobtm(mm),wtrhgt_blwgrnd(mm)
3/26/2020 5:50,-48,1454,584,76,75,-919
3/26/2020 6:00,-48,1454,584,76,75,-919
3/26/2020 6:10,-48,1454,584,76,75,-919
3/26/2020 6:20,-49,1454,584,76,75,-920
3/26/2020 6:30,-49,1454,584,76,75,-920
3/26/2020 6:40,-49,1454,584,76,75,-920
3/26/2020 6:50,-49,1454,584,76,75,-920
3/26/2020 7:00,-48,1454,584,76,75,-919
3/26/2020 7:10,-48,1454,584,76,75,-919
3/26/2020 7:20,-48,1454,584,76,75,-919
3/26/2020 7:30,-48,1454,584,76,75,-919
3/26/2020 7:40,-48,1454,584,76,75,-919
3/26/2020 7:50,-49,1454,584,76,75,-920
3/26/2020 8:00,-49,1454,584,76,75,-920
3/26/2020 8:10,-49,1454,584,76,75,-920
3/26/2020 8:20,-49,1454,584,76,75,-920
3/26/2020 8:30,-49,1454,584,76,75,-920
3/26/2020 8:40,-49,1454,584,76,75,-920
3/26/2020 8:50,-49,1454,584,76,75,-920
3/26/2020 9:00,-49,1454,584,76,75,-920
3/26/2020 9:10,-49,1454,584,76,75,-920
3/26/2020 9:20,-49,1454,584,76,75,-920
3/26/2020 9:30,-49,1454,584,76,75,-920
3/26/2020 9:40,-49,1454,584,76,75,-920
3/26/2020 9:50,-49,1454,584,76,75,-920
3/26/2020 10:00,-49,1454,584,76,75,-920
3/26/2020 10:10,-49,1454,584,76,75,-920
3/26/2020 10:20,-49,1454,584,76,75,-920
3/26/2020 10:30,-49,1454,584,76,75,-920
3/26/2020 10:40,-49,1454,584,76,75,-920
3/26/2020 10:50,-49,1454,584,76,75,-920
3/26/2020 11:00,-49,1454,584,76,75,-920
3/26/2020 11:10,-49,1454,584,76,75,-920
3/26/2020 11:20,-49,1454,584,76,75,-920
3/26/2020 11:30,-49,1454,584,76,75,-920
3/26/2020 11:40,-49,1454,584,76,75,-920
3/26/2020 11:50,-49,1454,584,76,75,-920
3/26/2020 12:00,-49,1454,584,76,75,-920
3/26/2020 12:10,-49,1454,584,76,75,-920
3/26/2020 12:20,-49,1454,584,76,75,-920
3/26/2020 12:30,-49,1454,584,76,75,-920
3/26/2020 12:40,-49,1454,584,76,75,-920
3/26/2020 12:50,-49,1454,584,76,75,-920
3/26/2020 13:00,-49,1454,584,76,75,-920
3/26/2020 13:10,-49,1454,584,76,75,-920
3/26/2020 13:20,-49,1454,584,76,75,-920
3/26/2020 13:30,-49,1454,584,76,75,-920
3/26/2020 13:40,-49,1454,584,76,75,-920
3/26/2020 13:50,-49,1454,584,76,75,-920
3/26/2020 14:00,-49,1454,584,76,75,-920
3/26/2020 14:10,-49,1454,584,76,75,-920
3/26/2020 14:20,-49,1454,584,76,75,-920
3/26/2020 14:30,-49,1454,584,76,75,-920
3/26/2020 14:40,-49,1454,584,76,75,-920
