"TOA5","DH1_CR1000_63433","CR1000","63433","CR1000.Std.27","CPU:DH1_CR1000_63433_FEF_10min_program_2021Calibrated.CR1","49380","Data_10min"
"TIMESTAMP","RECORD","SC_uS","SC_1","Ct_1","Ct_2","Temp_C","CDOM","CDOM_ave_mV","CDOM_ave","CDOM_stdev","CDOM_med","Turb","Turb_ave_mV","Turb_ave","Turb_stdev","Turb_med","CDOM_mV","TURB_mV"
"TS","RN","uS/cm","","","","Deg C","ppb QSE","millivolts","ppb QSE","ppb QSE","ppb QSE","NTU","millivolts","NTU","NTU","NTU","millivolts","millivolts"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-12 21:10:00",38,128.088,138.892,0.07854516,73.56225,1.482,16.78888,507.2395,16.72568,0.05329211,16.69619,445.5886,4933.044,445.4752,0.03586479,445.4639,503.6119,4932.919
"2021-05-12 21:20:00",39,128.0977,138.9018,0.07852262,73.54082,1.472,16.6035,500.6097,16.50238,0.04766642,16.51081,445.4639,4932.919,445.4639,0,445.4639,499.4839,4932.919
"2021-05-12 21:30:00",40,128.1477,138.9525,0.07852262,73.54082,1.463,16.46447,498.7334,16.43919,0.03038239,16.41812,445.5886,4932.669,445.4411,0.07174142,445.4639,499.4839,4934.295
"2021-05-12 21:40:00",41,128.1776,138.9828,0.0785113,73.53007,1.453,16.88157,509.2409,16.79309,0.04615295,16.78888,445.4639,4932.669,445.4411,0.04812944,445.4639,509.1158,4932.919
"2021-05-12 21:50:00",42,128.1876,138.993,0.07848875,73.50864,1.443,16.74253,505.4882,16.6667,0.04084838,16.64984,445.5886,4932.794,445.4525,0.06416669,445.4639,506.3639,4931.543
"2021-05-12 22:00:00",43,128.1979,139.0033,0.07846621,73.48723,1.434,16.83522,508.6154,16.77203,0.05329267,16.74253,445.4639,4932.669,445.4411,0.04812944,445.4639,509.1158,4932.919
"2021-05-12 22:10:00",44,128.2481,139.0542,0.07846621,73.48723,1.424,16.64984,503.2366,16.59086,0.03474286,16.55715,445.4639,4932.419,445.4185,0.06002795,445.4639,502.2359,4931.543
"2021-05-12 22:20:00",45,128.2582,139.0644,0.07844368,73.46581,1.414,16.64984,503.2366,16.59086,0.05262209,16.6035,445.4639,4932.544,445.4298,0.05557508,445.4639,504.9879,4931.543
"2021-05-12 22:30:00",46,128.2903,139.097,0.07843353,73.45616,1.405,16.83522,507.6147,16.73832,0.05395457,16.69619,445.4639,4932.293,445.4071,0.06213482,445.3391,504.9879,4931.543
"2021-05-12 22:40:00",47,128.3529,139.1604,0.07844035,73.46265,1.395,17.02156,512.5215,16.90358,0.07489879,16.88252,445.4885,4932.191,445.3978,0.05557508,445.3637,509.1439,4931.815
