sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
166,4/30/21 11:30,0.5,3.5,-50,-50,3.99
167,4/30/21 11:40,0.5,3.5,-50,-50,3.99
168,4/30/21 11:50,0.5,3.9,-50,-50,3.99
169,4/30/21 12:00,0.5,3.9,-50,-50,3.99
170,4/30/21 12:10,0.5,4.2,-50,-50,3.99
171,4/30/21 12:20,0.5,4.6,-49,-49,3.99
172,4/30/21 12:30,0.5,4.9,-49,-49,3.99
173,4/30/21 12:40,0.5,5.6,-49,-50,3.99
174,4/30/21 12:50,0.5,6.2,-50,-50,3.99
175,4/30/21 13:00,0.5,7.2,-50,-50,3.99
176,4/30/21 13:10,0.5,7.5,-50,-50,3.99
177,4/30/21 13:20,0.5,7.2,-50,-50,3.99
178,4/30/21 13:30,0.5,6.9,-50,-50,3.99
179,4/30/21 13:40,0.5,6.5,-50,-50,3.99
180,4/30/21 13:50,0.5,6.2,-50,-50,3.99
181,4/30/21 14:00,0.5,6.2,-50,-50,3.99
182,4/30/21 14:10,0.5,6.9,-50,-50,3.99
183,4/30/21 14:20,0.5,7.9,-49,-50,3.99
184,4/30/21 14:30,0.5,8.5,-50,-50,3.99
185,4/30/21 14:40,0.5,8.9,-50,-50,3.99
186,4/30/21 14:50,0.5,9.8,-50,-50,3.99
187,4/30/21 15:00,0.5,11.5,-50,-50,3.99
188,4/30/21 15:10,0.5,13.1,-50,-50,3.99
189,4/30/21 15:20,0.5,13.5,-50,-50,3.99
190,4/30/21 15:30,0.5,15.1,-50,-50,3.99
191,4/30/21 15:40,0.5,16.5,-50,-50,4.03
192,4/30/21 15:50,0.5,16.1,-50,-50,3.99
193,4/30/21 16:00,0.5,14.1,-50,-50,3.99
194,4/30/21 16:10,0.5,12.5,-50,-50,3.99
195,4/30/21 16:20,0.5,11.2,-50,-50,3.99
196,4/30/21 16:30,0.5,11.2,-50,-50,3.99
197,4/30/21 16:40,0.5,12.5,-49,-50,3.99
198,4/30/21 16:50,0.5,15.5,-50,-50,3.99
199,4/30/21 17:00,0.5,18.8,-50,-50,4.03
200,4/30/21 17:10,0.5,21.3,-49,-50,4.03
201,4/30/21 17:20,0.5,21.3,-18,-30,4.03
202,4/30/21 17:30,0.5,19.2,-5,-11,3.99
203,4/30/21 17:40,0.5,16.5,1,-1,3.99
204,4/30/21 17:50,0.5,14.1,4,2,3.99
205,4/30/21 18:00,0.5,12.1,6,5,3.99
206,4/30/21 18:10,0.5,10.5,6,6,3.99
207,4/30/21 18:20,0.5,8.9,7,7,3.99
208,4/30/21 18:30,0.5,7.5,7,7,3.99
209,4/30/21 18:40,0.5,6.2,6,6,3.99
210,4/30/21 18:50,0.5,6.2,6,7,3.99
211,4/30/21 19:00,0.5,5.9,6,6,3.99
212,4/30/21 19:10,0.5,5.2,6,6,3.99
213,4/30/21 19:20,0.5,4.6,5,5,3.99
214,4/30/21 19:30,0.5,3.9,4,4,3.99
215,4/30/21 19:40,0.5,3.2,3,3,3.99
216,4/30/21 19:50,0.5,2.5,3,3,3.99
217,4/30/21 20:00,0.5,2.2,2,2,3.99
218,4/30/21 20:10,0.5,1.9,1,2,3.99
219,4/30/21 20:20,0.5,1.5,1,1,3.99
220,4/30/21 20:30,0.5,1.2,0,0,3.99
221,4/30/21 20:40,0.5,0.8,-1,0,3.99
222,4/30/21 20:50,0.5,0.8,-1,-1,3.99
223,4/30/21 21:00,0.5,0.8,-2,-1,3.99
224,4/30/21 21:10,0.5,0.5,-2,-2,3.99
225,4/30/21 21:20,0.5,0.5,-3,-3,3.99
226,4/30/21 21:30,0.5,0.5,-4,-3,3.99
