"Plot Title: 20879900"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879900, SEN S/N: 20879900)","Temp, °C (LGR S/N: 20879900, SEN S/N: 20879900)","Coupler Detached (LGR S/N: 20879900)","Coupler Attached (LGR S/N: 20879900)","Host Connected (LGR S/N: 20879900)","Stopped (LGR S/N: 20879900)","End Of File (LGR S/N: 20879900)"
185,09/17/20 11:30:00 PM,70.574,5.141,,,,,
186,09/17/20 11:40:00 PM,70.570,5.244,,,,,
187,09/17/20 11:50:00 PM,70.575,5.347,,,,,
188,09/18/20 12:00:00 AM,70.570,5.450,,,,,
189,09/18/20 12:10:00 AM,70.560,5.450,,,,,
190,09/18/20 12:20:00 AM,70.551,5.450,,,,,
191,09/18/20 12:30:00 AM,70.541,5.450,,,,,
192,09/18/20 12:40:00 AM,70.541,5.655,,,,,
193,09/18/20 12:50:00 AM,70.541,5.655,,,,,
194,09/18/20 01:00:00 AM,70.546,5.552,,,,,
195,09/18/20 01:10:00 AM,70.521,5.450,,,,,
196,09/18/20 01:20:00 AM,70.536,5.552,,,,,
197,09/18/20 01:30:00 AM,70.551,5.450,,,,,
198,09/18/20 01:40:00 AM,70.555,5.141,,,,,
199,09/18/20 01:50:00 AM,70.539,4.831,,,,,
200,09/18/20 02:00:00 AM,70.553,4.519,,,,,
201,09/18/20 02:10:00 AM,70.556,4.207,,,,,
202,09/18/20 02:20:00 AM,70.555,3.998,,,,,
203,09/18/20 02:30:00 AM,70.558,3.683,,,,,
204,09/18/20 02:40:00 AM,70.547,3.472,,,,,
205,09/18/20 02:50:00 AM,70.542,3.367,,,,,
206,09/18/20 03:00:00 AM,70.536,3.261,,,,,
207,09/18/20 03:10:00 AM,70.544,3.049,,,,,
208,09/18/20 03:20:00 AM,70.539,2.943,,,,,
209,09/18/20 03:30:00 AM,70.537,2.730,,,,,
210,09/18/20 03:40:00 AM,70.531,2.624,,,,,
211,09/18/20 03:50:00 AM,70.526,2.517,,,,,
212,09/18/20 04:00:00 AM,70.501,2.410,,,,,
213,09/18/20 04:10:00 AM,70.520,2.410,,,,,
214,09/18/20 04:20:00 AM,70.520,2.410,,,,,
215,09/18/20 04:30:00 AM,70.516,2.517,,,,,
216,09/18/20 04:40:00 AM,70.506,2.517,,,,,
217,09/18/20 04:50:00 AM,70.522,2.624,,,,,
218,09/18/20 05:00:00 AM,70.508,2.730,,,,,
219,09/18/20 05:10:00 AM,70.514,2.837,,,,,
220,09/18/20 05:20:00 AM,70.504,2.837,,,,,
221,09/18/20 05:30:00 AM,70.519,2.943,,,,,
222,09/18/20 05:40:00 AM,70.494,2.837,,,,,
223,09/18/20 05:50:00 AM,70.514,2.837,,,,,
224,09/18/20 06:00:00 AM,70.523,2.837,,,,,
225,09/18/20 06:10:00 AM,70.518,2.730,,,,,
226,09/18/20 06:20:00 AM,70.533,2.837,,,,,
227,09/18/20 06:30:00 AM,70.533,2.837,,,,,
228,09/18/20 06:40:00 AM,70.533,2.837,,,,,
