"TOA5","DH1_CR1000","CR1000","63433","CR1000.Std.27","CPU:DH1_CR1000_63433_FEF_10min_program_2022Calibrated.CR1","6303","Data_10min"
"TIMESTAMP","RECORD","SC_uS","SC_1","Ct_1","Ct_2","Temp_C","CDOM","CDOM_ave_mV","CDOM_ave","CDOM_stdev","CDOM_med","Turb","Turb_ave_mV","Turb_ave","Turb_stdev","Turb_med","CDOM_mV","TURB_mV"
"TS","RN","uS/cm","","","","Deg C","ppb QSE","millivolts","ppb QSE","ppb QSE","ppb QSE","NTU","millivolts","NTU","NTU","NTU","millivolts","millivolts"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-04-22 19:00:00",33,124.3214,137.1345,0.1299431,122.4062,19.63,6.792874,202.2142,6.71481,0.04670997,6.697462,156.6555,1452.3,156.4103,0.09629218,156.3559,200.343,1451.801
"2022-04-22 19:10:00",34,124.3483,137.1615,0.1299671,122.4291,19.63,6.935992,203.9607,6.775527,0.07410906,6.745169,156.8053,1454.92,156.6963,0.06671321,156.6555,203.0875,1454.545
"2022-04-22 19:20:00",35,124.3293,137.1424,0.1299791,122.4404,19.64,6.84058,204.8339,6.805885,0.04114348,6.792874,157.1049,1458.038,157.0368,0.07458762,156.9551,204.4597,1457.29
"2022-04-22 19:30:00",36,124.3236,137.1367,0.1300392,122.4976,19.66,6.888287,203.5864,6.762516,0.06829768,6.745169,157.5543,1461.656,157.4317,0.05777532,157.4045,203.0875,1461.406
"2022-04-22 19:40:00",37,124.3066,137.1196,0.1300873,122.5432,19.68,6.935992,203.5864,6.762516,0.07949683,6.745169,157.8539,1464.775,157.7722,0.07458762,157.7041,200.343,1464.151
"2022-04-22 19:50:00",38,124.2879,137.101,0.1300993,122.5546,19.7,6.888287,202.4637,6.723483,0.07709467,6.697462,158.1535,1466.895,158.0037,0.06387628,158.0037,201.7153,1465.523
"2022-04-22 20:00:00",39,124.3209,137.134,0.1301593,122.6117,19.71,6.84058,204.2102,6.7842,0.0341487,6.792874,158.4531,1470.139,158.3578,0.07205849,158.3033,203.0875,1469.64
"2022-04-22 20:10:00",40,124.3024,137.1155,0.1302073,122.6573,19.73,6.84058,203.0875,6.745168,0.05753565,6.745169,158.6029,1472.384,158.6029,0,158.6029,200.343,1472.384
"2022-04-22 20:20:00",41,124.3303,137.1435,0.1302314,122.6802,19.73,6.84058,202.838,6.736494,0.06040621,6.697462,158.9025,1474.754,158.8616,0.06672,158.9025,205.8319,1473.756
"2022-04-22 20:30:00",42,124.3474,137.1605,0.1302795,122.7259,19.74,6.84058,203.2122,6.749505,0.0625478,6.745169,159.0523,1475.253,158.9161,0.04306757,158.9025,204.4597,1475.129
"2022-04-22 20:40:00",43,124.2922,137.1052,0.1303275,122.7715,19.77,6.792874,203.0875,6.745168,0.03523313,6.745169,159.3519,1477.998,159.2157,0.04306319,159.2021,201.7153,1477.873
"2022-04-22 20:50:00",44,124.2824,137.0955,0.1303515,122.7943,19.78,6.84058,202.0895,6.710473,0.05786173,6.697462,159.3519,1479.245,159.3519,0,159.3519,203.0875,1479.245
"2022-04-22 21:00:00",45,124.3465,137.1597,0.1304116,122.8515,19.78,6.84058,202.838,6.736494,0.07282908,6.745169,159.6515,1481.366,159.5834,0.07459522,159.5017,203.0875,1480.617
"2022-04-22 21:10:00",46,124.4252,137.2385,0.1305197,122.9542,19.8,6.792874,203.0875,6.745168,0.04548583,6.745169,159.9511,1484.609,159.9375,0.04306757,159.9511,204.4597,1483.362
