Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R66667
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (mV)
5/6/22,1:10:26,113.47
5/6/22,1:20:26,115.715
5/6/22,1:30:26,114.735
5/6/22,1:40:26,115.8
5/6/22,1:50:26,113.265
5/6/22,2:00:26,116.2
5/6/22,2:10:26,118.54
5/6/22,2:20:26,115.935
5/6/22,2:30:26,118.425
5/6/22,2:40:26,115.58
5/6/22,2:50:26,115.6
5/6/22,3:00:26,115.425
5/6/22,3:10:26,113.475
5/6/22,3:20:26,114.65
5/6/22,3:30:26,113.92
5/6/22,3:40:26,115.805
5/6/22,3:50:26,116.165
5/6/22,4:00:26,118.72
5/6/22,4:10:26,115.935
5/6/22,4:20:26,113.715
5/6/22,4:30:26,115.9
5/6/22,4:40:26,117.955
5/6/22,4:50:26,115.96
5/6/22,5:00:26,113.27
5/6/22,5:10:26,116.22
5/6/22,5:20:26,118.625
5/6/22,5:30:26,115.665
5/6/22,5:40:26,117.325
5/6/22,5:50:26,115.88
5/6/22,6:00:26,116.35
5/6/22,6:10:26,121.24
5/6/22,6:20:26,118.73
5/6/22,6:30:26,120.175
5/6/22,6:40:26,121.115
5/6/22,6:50:26,119.325
5/6/22,7:00:26,118.77
5/6/22,7:10:26,116.225
5/6/22,7:20:26,115.87
5/6/22,7:30:26,116.305
5/6/22,7:40:26,115.87
5/6/22,7:50:26,118.525
5/6/22,8:00:26,121.315
5/6/22,8:10:26,118.85
5/6/22,8:20:26,118.71
5/6/22,8:30:26,121.38
5/6/22,8:40:26,118.745
5/6/22,8:50:26,116.99
5/6/22,9:00:26,118.425
5/6/22,9:10:26,118.36
5/6/22,9:20:26,121.37
5/6/22,9:30:26,118.185
5/6/22,9:40:26,115.465
5/6/22,9:50:26,118.03
5/6/22,10:00:26,119.93
5/6/22,10:10:26,118.22
5/6/22,10:20:26,117.765
5/6/22,10:30:26,115.61
5/6/22,10:40:26,118.465
5/6/22,10:50:26,120.355
5/6/22,11:00:26,118.055
5/6/22,11:10:26,117.19
5/6/22,11:20:26,115.39
5/6/22,11:30:26,115.835
5/6/22,11:40:26,118.135
5/6/22,11:50:26,119.45
5/6/22,12:00:26,118.835
5/6/22,12:10:26,116.125
5/6/22,12:20:26,118.345
5/6/22,12:30:26,120.855
5/6/22,12:40:26,120.265
5/6/22,12:50:26,115.335
5/6/22,13:00:26,117.61
5/6/22,13:10:26,118.285
5/6/22,13:20:26,120.435
5/6/22,13:30:26,123.33
5/6/22,13:40:26,118.085
5/6/22,13:50:26,116.655
5/6/22,14:00:26,117.95
5/6/22,14:10:26,118.395
5/6/22,14:20:26,120.585
5/6/22,14:30:26,117.07
5/6/22,14:40:26,112.53
5/6/22,14:50:26,111.14
5/6/22,15:00:26,110.985
5/6/22,15:10:26,115.545
5/6/22,15:20:26,113.335
5/6/22,15:30:26,111.13
5/6/22,15:40:26,115.745
5/6/22,15:50:26,115.84
5/6/22,16:00:26,116.52
5/6/22,16:10:26,114.605
5/6/22,16:20:26,113.565
5/6/22,16:30:26,112.25
5/6/22,16:40:26,113.835
5/6/22,16:50:26,112.895
5/6/22,17:00:26,113.735
5/6/22,17:10:26,113.395
5/6/22,17:20:26,114.235
5/6/22,17:30:26,113.59
5/6/22,17:40:26,115.715
5/6/22,17:50:26,113.4
5/6/22,18:00:26,110.715
5/6/22,18:10:26,113.04
5/6/22,18:20:26,113.485
5/6/22,18:30:26,113.18
5/6/22,18:40:26,113.335
5/6/22,18:50:26,116.125
5/6/22,19:00:26,113.085
5/6/22,19:10:26,108.39
5/6/22,19:20:26,114.03
5/6/22,19:30:26,111.01
5/6/22,19:40:26,112.115
5/6/22,19:50:26,115.235
5/6/22,20:00:26,113.81
5/6/22,20:10:26,111.58
5/6/22,20:20:26,110.905
5/6/22,20:30:26,112.465
5/6/22,20:40:26,113.15
5/6/22,20:50:26,113.5
5/6/22,21:00:26,113.695
5/6/22,21:10:26,113.475
5/6/22,21:20:26,112.435
5/6/22,21:30:26,113.66
5/6/22,21:40:26,114.975
5/6/22,21:50:26,115.995
5/6/22,22:00:26,113.415
5/6/22,22:10:26,111.565
5/6/22,22:20:26,113.535
5/6/22,22:30:26,116.185
5/6/22,22:40:26,113.945
5/6/22,22:50:26,113.5
5/6/22,23:00:26,112.625
5/6/22,23:10:26,111.585
5/6/22,23:20:26,116.265
5/6/22,23:30:26,114.255
5/6/22,23:40:26,118.35
5/6/22,23:50:26,113.615
5/7/22,0:00:26,112.4
5/7/22,0:10:26,115.565
5/7/22,0:20:26,117.2
5/7/22,0:30:26,116.205
5/7/22,0:40:26,115.605
5/7/22,0:50:26,111.115
5/7/22,1:00:26,116.145
5/7/22,1:10:26,116.735
5/7/22,1:20:26,116.205
5/7/22,1:30:26,113.15
5/7/22,1:40:26,112.135
5/7/22,1:50:26,116.395
5/7/22,2:00:26,116.08
5/7/22,2:10:26,110.83
5/7/22,2:20:26,113.585
5/7/22,2:30:26,114.775
5/7/22,2:40:26,118.695
5/7/22,2:50:26,113.455
5/7/22,3:00:26,112.435
5/7/22,3:10:26,113.575
5/7/22,3:20:26,115.325
5/7/22,3:30:26,114.385
5/7/22,3:40:26,112.975
5/7/22,3:50:26,111.99
5/7/22,4:00:26,113.83
5/7/22,4:10:26,114.555
5/7/22,4:20:26,111.19
5/7/22,4:30:26,113.725
5/7/22,4:40:26,115.81
5/7/22,4:50:26,113.465
5/7/22,5:00:26,111.325
5/7/22,5:10:26,113.525
5/7/22,5:20:26,116.05
5/7/22,5:30:26,113.115
5/7/22,5:40:26,113.1
5/7/22,5:50:26,113.675
5/7/22,6:00:26,114.93
5/7/22,6:10:26,114.19
5/7/22,6:20:26,113.62
5/7/22,6:30:26,113.05
5/7/22,6:40:26,113.185
5/7/22,6:50:26,116.44
5/7/22,7:00:26,113.45
5/7/22,7:10:26,110.89
5/7/22,7:20:26,115.765
5/7/22,7:30:26,115.425
5/7/22,7:40:26,114.73
5/7/22,7:50:26,110.825
5/7/22,8:00:26,110.165
5/7/22,8:10:26,111.37
5/7/22,8:20:26,111.345
5/7/22,8:30:26,111.47
5/7/22,8:40:26,113.525
5/7/22,8:50:26,114.1
5/7/22,9:00:26,116.345
5/7/22,9:10:26,112.89
5/7/22,9:20:26,113.01
5/7/22,9:30:26,113.575
5/7/22,9:40:26,114.495
5/7/22,9:50:26,116.405
5/7/22,10:00:26,113.125
5/7/22,10:10:26,113.175
5/7/22,10:20:26,114.365
5/7/22,10:30:26,114.96
5/7/22,10:40:26,116.01
5/7/22,10:50:26,114.14
5/7/22,11:00:26,113.3
5/7/22,11:10:26,112.96
5/7/22,11:20:26,115.765
5/7/22,11:30:26,115.82
5/7/22,11:40:26,115.105
5/7/22,11:50:26,113.92
5/7/22,12:00:26,115.76
5/7/22,12:10:26,115.695
5/7/22,12:20:26,117.24
5/7/22,12:30:26,113.225
5/7/22,12:40:26,115.445
5/7/22,12:50:26,118.81
5/7/22,13:00:26,118.335
5/7/22,13:10:26,120.795
5/7/22,13:20:26,118.01
5/7/22,13:30:26,115.81
5/7/22,13:40:26,120.135
5/7/22,13:50:26,119.31
5/7/22,14:00:26,115.575
5/7/22,14:10:26,113.825
5/7/22,14:20:26,113.795
5/7/22,14:30:26,110.72
5/7/22,14:40:26,103.92
5/7/22,14:50:26,104
5/7/22,15:00:26,105.84
5/7/22,15:10:26,106.475
5/7/22,15:20:26,105.685
5/7/22,15:30:26,105.89
5/7/22,15:40:26,106.48
5/7/22,15:50:26,104.605
5/7/22,16:00:26,109.275
5/7/22,16:10:26,109.735
5/7/22,16:20:26,105.635
5/7/22,16:30:26,103.47
5/7/22,16:40:26,104.46
5/7/22,16:50:26,108.55
5/7/22,17:00:26,107.845
5/7/22,17:10:26,105.555
5/7/22,17:20:26,105.42
5/7/22,17:30:26,107.385
5/7/22,17:40:26,105.895
5/7/22,17:50:26,103.805
5/7/22,18:00:26,105.95
5/7/22,18:10:26,108.025
5/7/22,18:20:26,108.405
5/7/22,18:30:26,105.255
5/7/22,18:40:26,104.15
5/7/22,18:50:26,106.92
5/7/22,19:00:26,105.98
5/7/22,19:10:26,105.66
5/7/22,19:20:26,105.755
5/7/22,19:30:26,105.85
5/7/22,19:40:26,105.86
5/7/22,19:50:26,108.425
5/7/22,20:00:26,111.14
5/7/22,20:10:26,109.56
5/7/22,20:20:26,111.08
5/7/22,20:30:26,108.665
5/7/22,20:40:26,110.845
5/7/22,20:50:26,116.09
5/7/22,21:00:26,111.105
5/7/22,21:10:26,111.16
5/7/22,21:20:26,113.61
5/7/22,21:30:26,113.72
5/7/22,21:40:26,113.61
5/7/22,21:50:26,113.435
5/7/22,22:00:26,113.735
5/7/22,22:10:26,116.225
5/7/22,22:20:26,113.73
5/7/22,22:30:26,112.175
5/7/22,22:40:26,113.435
5/7/22,22:50:26,114.15
5/7/22,23:00:26,114.625
5/7/22,23:10:26,113.11
5/7/22,23:20:26,111.585
5/7/22,23:30:26,113.865
5/7/22,23:40:26,118.91
5/7/22,23:50:26,116.205
5/8/22,0:00:26,116.01
5/8/22,0:10:26,113.35
5/8/22,0:20:26,114.93
5/8/22,0:30:26,120.075
5/8/22,0:40:26,121.365
5/8/22,0:50:26,118.61
5/8/22,1:00:26,115.97
5/8/22,1:10:26,116.92
5/8/22,1:20:26,121.08
5/8/22,1:30:26,121.39
5/8/22,1:40:26,121.42
5/8/22,1:50:26,120.135
5/8/22,2:00:26,118.305
5/8/22,2:10:26,120.045
5/8/22,2:20:26,120.265
5/8/22,2:30:26,121.175
5/8/22,2:40:26,118.925
5/8/22,2:50:26,123.46
5/8/22,3:00:26,124.255
5/8/22,3:10:26,126.61
5/8/22,3:20:26,123.79
5/8/22,3:30:26,122.305
5/8/22,3:40:26,123.795
5/8/22,3:50:26,126.125
5/8/22,4:00:26,126.515
5/8/22,4:10:26,127.295
5/8/22,4:20:26,126.135
5/8/22,4:30:26,125.09
5/8/22,4:40:26,123.955
5/8/22,4:50:26,123.925
5/8/22,5:00:26,124.565
5/8/22,5:10:26,123.89
5/8/22,5:20:26,126.59
5/8/22,5:30:26,126.22
5/8/22,5:40:26,125.81
5/8/22,5:50:26,127.73
5/8/22,6:00:26,127.055
5/8/22,6:10:26,125.525
5/8/22,6:20:26,126.235
5/8/22,6:30:26,129.06
5/8/22,6:40:26,125.515
5/8/22,6:50:26,123.815
5/8/22,7:00:26,123.905
5/8/22,7:10:26,118.18
5/8/22,7:20:26,118.935
5/8/22,7:30:26,118.765
5/8/22,7:40:26,117.71
5/8/22,7:50:26,120.38
5/8/22,8:00:26,118.38
5/8/22,8:10:26,118.035
5/8/22,8:20:26,120.185
