watershed,site,date,time,adj_wtr_ht,level_flag
fool,fc2,2020-08-15,09:40,171,In Range
fool,fc2,2020-08-15,09:50,171,In Range
fool,fc2,2020-08-15,10:00,171,In Range
fool,fc2,2020-08-15,10:10,171,In Range
fool,fc2,2020-08-15,10:20,171,In Range
fool,fc2,2020-08-15,10:30,171,In Range
fool,fc2,2020-08-15,10:40,171,In Range
fool,fc2,2020-08-15,10:50,171,In Range
fool,fc2,2020-08-15,11:00,171,In Range
fool,fc2,2020-08-15,11:10,171,In Range
fool,fc2,2020-08-15,11:20,171,In Range
fool,fc2,2020-08-15,11:30,171,In Range
fool,fc2,2020-08-15,11:40,171,In Range
fool,fc2,2020-08-15,11:50,172,In Range
fool,fc2,2020-08-15,12:00,172,In Range
fool,fc2,2020-08-15,12:10,172,In Range
fool,fc2,2020-08-15,12:20,172,In Range
fool,fc2,2020-08-15,12:30,172,In Range
fool,fc2,2020-08-15,12:40,172,In Range
fool,fc2,2020-08-15,12:50,172,In Range
fool,fc2,2020-08-15,13:00,172,In Range
fool,fc2,2020-08-15,13:10,172,In Range
fool,fc2,2020-08-15,13:20,172,In Range
fool,fc2,2020-08-15,13:30,172,In Range
fool,fc2,2020-08-15,13:40,172,In Range
fool,fc2,2020-08-15,13:50,172,In Range
fool,fc2,2020-08-15,14:00,172,In Range
fool,fc2,2020-08-15,14:10,172,In Range
fool,fc2,2020-08-15,14:20,172,In Range
fool,fc2,2020-08-15,14:30,172,In Range
fool,fc2,2020-08-15,14:40,172,In Range
fool,fc2,2020-08-15,14:50,172,In Range
fool,fc2,2020-08-15,15:00,172,In Range
fool,fc2,2020-08-15,15:10,171,In Range
fool,fc2,2020-08-15,15:20,171,In Range
fool,fc2,2020-08-15,15:30,171,In Range
fool,fc2,2020-08-15,15:40,171,In Range
fool,fc2,2020-08-15,15:50,171,In Range
fool,fc2,2020-08-15,16:00,171,In Range
fool,fc2,2020-08-15,16:10,171,In Range
fool,fc2,2020-08-15,16:20,171,In Range
fool,fc2,2020-08-15,16:30,171,In Range
fool,fc2,2020-08-15,16:40,171,In Range
fool,fc2,2020-08-15,16:50,171,In Range
fool,fc2,2020-08-15,17:00,171,In Range
fool,fc2,2020-08-15,17:10,172,In Range
fool,fc2,2020-08-15,17:20,172,In Range
fool,fc2,2020-08-15,17:30,172,In Range
fool,fc2,2020-08-15,17:40,172,In Range
fool,fc2,2020-08-15,17:50,172,In Range
fool,fc2,2020-08-15,18:00,172,In Range
fool,fc2,2020-08-15,18:10,172,In Range
fool,fc2,2020-08-15,18:20,172,In Range
fool,fc2,2020-08-15,18:30,172,In Range
fool,fc2,2020-08-15,18:40,172,In Range
fool,fc2,2020-08-15,18:50,172,In Range
fool,fc2,2020-08-15,19:00,172,In Range
fool,fc2,2020-08-15,19:10,172,In Range
fool,fc2,2020-08-15,19:20,172,In Range
fool,fc2,2020-08-15,19:30,172,In Range
fool,fc2,2020-08-15,19:40,172,In Range
fool,fc2,2020-08-15,19:50,172,In Range
fool,fc2,2020-08-15,20:00,172,In Range
fool,fc2,2020-08-15,20:10,172,In Range
fool,fc2,2020-08-15,20:20,172,In Range
fool,fc2,2020-08-15,20:30,172,In Range
fool,fc2,2020-08-15,20:40,172,In Range
fool,fc2,2020-08-15,20:50,172,In Range
fool,fc2,2020-08-15,21:00,172,In Range
fool,fc2,2020-08-15,21:10,172,In Range
fool,fc2,2020-08-15,21:20,172,In Range
fool,fc2,2020-08-15,21:30,172,In Range
fool,fc2,2020-08-15,21:40,172,In Range
fool,fc2,2020-08-15,21:50,172,In Range
fool,fc2,2020-08-15,22:00,172,In Range
fool,fc2,2020-08-15,22:10,172,In Range
fool,fc2,2020-08-15,22:20,172,In Range
fool,fc2,2020-08-15,22:30,172,In Range
fool,fc2,2020-08-15,22:40,172,In Range
fool,fc2,2020-08-15,22:50,172,In Range
fool,fc2,2020-08-15,23:00,172,In Range
fool,fc2,2020-08-15,23:10,172,In Range
fool,fc2,2020-08-15,23:20,172,In Range
fool,fc2,2020-08-15,23:30,172,In Range
fool,fc2,2020-08-15,23:40,172,In Range
fool,fc2,2020-08-15,23:50,172,In Range
fool,fc2,2020-08-16,00:00,172,In Range
fool,fc2,2020-08-16,00:10,172,In Range
fool,fc2,2020-08-16,00:20,172,In Range
fool,fc2,2020-08-16,00:30,172,In Range
fool,fc2,2020-08-16,00:40,172,In Range
fool,fc2,2020-08-16,00:50,172,In Range
fool,fc2,2020-08-16,01:00,172,In Range
fool,fc2,2020-08-16,01:10,172,In Range
fool,fc2,2020-08-16,01:20,172,In Range
fool,fc2,2020-08-16,01:30,172,In Range
fool,fc2,2020-08-16,01:40,172,In Range
fool,fc2,2020-08-16,01:50,172,In Range
fool,fc2,2020-08-16,02:00,172,In Range
fool,fc2,2020-08-16,02:10,172,In Range
fool,fc2,2020-08-16,02:20,172,In Range
fool,fc2,2020-08-16,02:30,172,In Range
fool,fc2,2020-08-16,02:40,172,In Range
fool,fc2,2020-08-16,02:50,172,In Range
fool,fc2,2020-08-16,03:00,172,In Range
fool,fc2,2020-08-16,03:10,172,In Range
fool,fc2,2020-08-16,03:20,172,In Range
fool,fc2,2020-08-16,03:30,172,In Range
fool,fc2,2020-08-16,03:40,172,In Range
fool,fc2,2020-08-16,03:50,172,In Range
fool,fc2,2020-08-16,04:00,172,In Range
fool,fc2,2020-08-16,04:10,172,In Range
fool,fc2,2020-08-16,04:20,172,In Range
fool,fc2,2020-08-16,04:30,172,In Range
fool,fc2,2020-08-16,04:40,172,In Range
fool,fc2,2020-08-16,04:50,172,In Range
fool,fc2,2020-08-16,05:00,172,In Range
fool,fc2,2020-08-16,05:10,172,In Range
fool,fc2,2020-08-16,05:20,172,In Range
fool,fc2,2020-08-16,05:30,172,In Range
fool,fc2,2020-08-16,05:40,172,In Range
fool,fc2,2020-08-16,05:50,172,In Range
fool,fc2,2020-08-16,06:00,172,In Range
fool,fc2,2020-08-16,06:10,172,In Range
fool,fc2,2020-08-16,06:20,172,In Range
fool,fc2,2020-08-16,06:30,172,In Range
fool,fc2,2020-08-16,06:40,172,In Range
fool,fc2,2020-08-16,06:50,172,In Range
fool,fc2,2020-08-16,07:00,172,In Range
fool,fc2,2020-08-16,07:10,172,In Range
fool,fc2,2020-08-16,07:20,172,In Range
fool,fc2,2020-08-16,07:30,172,In Range
fool,fc2,2020-08-16,07:40,172,In Range
fool,fc2,2020-08-16,07:50,172,In Range
fool,fc2,2020-08-16,08:00,172,In Range
fool,fc2,2020-08-16,08:10,172,In Range
fool,fc2,2020-08-16,08:20,172,In Range
fool,fc2,2020-08-16,08:30,172,In Range
fool,fc2,2020-08-16,08:40,172,In Range
fool,fc2,2020-08-16,08:50,172,In Range
fool,fc2,2020-08-16,09:00,172,In Range
fool,fc2,2020-08-16,09:10,172,In Range
fool,fc2,2020-08-16,09:20,172,In Range
fool,fc2,2020-08-16,09:30,172,In Range
fool,fc2,2020-08-16,09:40,172,In Range
fool,fc2,2020-08-16,09:50,172,In Range
fool,fc2,2020-08-16,10:00,172,In Range
fool,fc2,2020-08-16,10:10,172,In Range
fool,fc2,2020-08-16,10:20,172,In Range
fool,fc2,2020-08-16,10:30,172,In Range
fool,fc2,2020-08-16,10:40,172,In Range
fool,fc2,2020-08-16,10:50,172,In Range
fool,fc2,2020-08-16,11:00,172,In Range
fool,fc2,2020-08-16,11:10,172,In Range
