date,time,voltage_mv,co2_ppm
6/24/21,4:30:44,125.09,416.9666667
6/24/21,4:40:44,123.54,411.8
6/24/21,4:50:44,122.485,408.2833333
6/24/21,5:00:44,120.975,403.25
6/24/21,5:10:44,124.39,414.6333333
6/24/21,5:20:44,120.195,400.65
6/24/21,5:30:44,120.36,401.2
6/24/21,5:40:44,120.83,402.7666667
6/24/21,5:50:44,121.24,404.1333333
6/24/21,6:00:44,123.955,413.1833333
6/24/21,6:10:44,122.73,409.1
6/24/21,6:20:44,122.69,408.9666667
6/24/21,6:30:44,122.73,409.1
6/24/21,6:40:44,123.315,411.05
6/24/21,6:50:44,126.23,420.7666667
6/24/21,7:00:44,122.71,409.0333333
6/24/21,7:10:44,125.29,417.6333333
6/24/21,7:20:44,122.75,409.1666667
6/24/21,7:30:44,125.54,418.4666667
6/24/21,7:40:44,122.61,408.7
6/24/21,7:50:44,116.72,389.0666667
6/24/21,8:00:44,117.04,390.1333333
6/24/21,8:10:44,117.75,392.5
6/24/21,8:20:44,121.67,405.5666667
6/24/21,8:30:44,120.735,402.45
6/24/21,8:40:44,118.025,393.4166667
6/24/21,8:50:44,116.88,389.6
6/24/21,9:00:44,118.05,393.5
6/24/21,9:10:44,115.87,386.2333333
6/24/21,9:20:44,116.06,386.8666667
6/24/21,9:30:44,118.04,393.4666667
6/24/21,9:40:44,116.61,388.7
6/24/21,9:50:44,115.89,386.3
6/24/21,10:00:44,113.135,377.1166667
6/24/21,10:10:44,117.59,391.9666667
6/24/21,10:20:44,114.405,381.35
6/24/21,10:30:44,113.445,378.15
6/24/21,10:40:44,113.185,377.2833333
6/24/21,10:50:44,118.09,393.6333333
6/24/21,11:00:44,117.855,392.85
6/24/21,11:10:44,114.95,383.1666667
6/24/21,11:20:44,108.14,360.4666667
6/24/21,11:30:44,108.94,363.1333333
6/24/21,11:40:44,108.195,360.65
6/24/21,11:50:44,111.465,371.55
6/24/21,12:00:44,110.085,366.95
6/24/21,12:10:44,113.595,378.65
6/24/21,12:20:44,112.86,376.2
6/24/21,12:30:44,114.34,381.1333333
6/24/21,12:40:44,113.965,379.8833333
6/24/21,12:50:44,113.135,377.1166667
6/24/21,13:00:44,113.425,378.0833333
6/24/21,13:10:44,110.52,368.4
6/24/21,13:20:44,115.385,384.6166667
6/24/21,13:30:44,111.095,370.3166667
6/24/21,13:40:44,113.56,378.5333333
6/24/21,13:50:44,116.295,387.65
6/24/21,14:00:44,110.89,369.6333333
6/24/21,14:10:44,112.97,376.5666667
6/24/21,14:20:44,112.21,374.0333333
6/24/21,14:30:44,113.24,377.4666667
6/24/21,14:40:44,114.595,381.9833333
6/24/21,14:50:44,113.35,377.8333333
6/24/21,15:00:44,114.935,383.1166667
6/24/21,15:10:44,113.715,379.05
6/24/21,15:20:44,117.695,392.3166667
6/24/21,15:30:44,117.835,392.7833333
6/24/21,15:40:44,118.845,396.15
6/24/21,15:50:44,117.905,393.0166667
6/24/21,16:00:44,119.66,398.8666667
6/24/21,16:10:44,117.205,390.6833333
6/24/21,16:20:44,112.565,375.2166667
6/24/21,16:30:44,112,373.3333333
6/24/21,16:40:44,113.79,379.3
6/24/21,16:50:44,112.58,375.2666667
6/24/21,17:00:44,111.145,370.4833333
6/24/21,17:10:44,108.415,361.3833333
6/24/21,17:20:44,112.53,375.1
6/24/21,17:30:44,110.945,369.8166667
6/24/21,17:40:44,110.33,367.7666667
6/24/21,17:50:44,110.365,367.8833333
6/24/21,18:00:44,109.945,366.4833333
6/24/21,18:10:44,109.625,365.4166667
6/24/21,18:20:44,111.475,371.5833333
6/24/21,18:30:44,113.03,376.7666667
6/24/21,18:40:44,117.76,392.5333333
6/24/21,18:50:44,115.485,384.95
6/24/21,19:00:44,116.395,387.9833333
6/24/21,19:10:44,117.525,391.75
6/24/21,19:20:44,120.31,401.0333333
6/24/21,19:30:44,115.36,384.5333333
6/24/21,19:40:44,110.16,367.2
6/24/21,19:50:44,111.825,372.75
6/24/21,20:00:44,109.94,366.4666667
6/24/21,20:10:44,112.575,375.25
6/24/21,20:20:44,109.91,366.3666667
6/24/21,20:30:44,110.02,366.7333333
6/24/21,20:40:44,112.185,373.95
6/24/21,20:50:44,111.255,370.85
6/24/21,21:00:44,109.01,363.3666667
6/24/21,21:10:44,107.11,357.0333333
6/24/21,21:20:44,107.43,358.1
6/24/21,21:30:44,107.63,358.7666667
6/24/21,21:40:44,107.015,356.7166667
6/24/21,21:50:44,107.445,358.15
6/24/21,22:00:44,107.395,357.9833333
6/24/21,22:10:44,107.535,358.45
6/24/21,22:20:44,107.435,358.1166667
6/24/21,22:30:44,107.645,358.8166667
6/24/21,22:40:44,111.555,371.85
6/24/21,22:50:44,110.245,367.4833333
6/24/21,23:00:44,109.955,366.5166667
6/24/21,23:10:44,114.055,380.1833333
6/24/21,23:20:44,117.405,391.35
6/24/21,23:30:44,122.15,407.1666667
6/24/21,23:40:44,120.935,403.1166667
6/24/21,23:50:44,120.7,402.3333333
6/25/21,0:00:44,120.915,403.05
6/25/21,0:10:44,122.585,408.6166667
6/25/21,0:20:44,124.775,415.9166667
6/25/21,0:30:44,123.205,410.6833333
6/25/21,0:40:44,122.06,406.8666667
6/25/21,0:50:44,120.36,401.2
6/25/21,1:00:44,120.065,400.2166667
6/25/21,1:10:44,123.475,411.5833333
6/25/21,1:20:44,124.59,415.3
6/25/21,1:30:44,122.71,409.0333333
6/25/21,1:40:44,124.855,416.1833333
6/25/21,1:50:44,123.89,412.9666667
6/25/21,2:00:44,124.5,415
6/25/21,2:10:44,122.52,408.4
6/25/21,2:20:44,119.795,399.3166667
6/25/21,2:30:44,124.455,414.85
6/25/21,2:40:44,120.025,400.0833333
6/25/21,2:50:44,117.825,392.75
6/25/21,3:00:44,120.225,400.75
6/25/21,3:10:44,122.69,408.9666667
6/25/21,3:20:44,122.045,406.8166667
6/25/21,3:30:44,120.515,401.7166667
6/25/21,3:40:44,122.655,408.85
6/25/21,3:50:44,122.755,409.1833333
6/25/21,4:00:44,122.66,408.8666667
6/25/21,4:10:44,122.755,409.1833333
6/25/21,4:20:44,125.225,417.4166667
6/25/21,4:30:44,124.99,416.6333333
6/25/21,4:40:44,120.175,400.5833333
6/25/21,4:50:44,120.81,402.7
6/25/21,5:00:44,121.785,405.95
6/25/21,5:10:44,122.455,408.1833333
6/25/21,5:20:44,122.315,407.7166667
6/25/21,5:30:44,120.49,401.6333333
6/25/21,5:40:44,119.895,399.65
6/25/21,5:50:44,122.025,406.75
6/25/21,6:00:44,122.225,407.4166667
6/25/21,6:10:44,122.365,407.8833333
6/25/21,6:20:44,122.485,408.2833333
6/25/21,6:30:44,124.43,414.7666667
6/25/21,6:40:44,123.905,413.0166667
6/25/21,6:50:44,125.23,417.4333333
6/25/21,7:00:44,125.835,419.45
6/25/21,7:10:44,123.155,410.5166667
6/25/21,7:20:44,123.915,413.05
6/25/21,7:30:44,124.445,414.8166667
6/25/21,7:40:44,124.565,415.2166667
6/25/21,7:50:44,122.82,409.4
6/25/21,8:00:44,120.25,400.8333333
6/25/21,8:10:44,117.95,393.1666667
6/25/21,8:20:44,119.91,399.7
6/25/21,8:30:44,120.43,401.4333333
6/25/21,8:40:44,122.255,407.5166667
6/25/21,8:50:44,118.335,394.45
6/25/21,9:00:44,115.025,383.4166667
6/25/21,9:10:44,122.935,409.7833333
6/25/21,9:20:44,120.08,400.2666667
6/25/21,9:30:44,120.765,402.55
6/25/21,9:40:44,118.65,395.5
6/25/21,9:50:44,120.39,401.3
6/25/21,10:00:44,120.51,401.7
6/25/21,10:10:44,120.36,401.2
6/25/21,10:20:44,116.12,387.0666667
6/25/21,10:30:44,117.735,392.45
6/25/21,10:40:44,117.42,391.4
6/25/21,10:50:44,116.34,387.8
6/25/21,11:00:44,117.9,393
6/25/21,11:10:44,119.07,396.9
6/25/21,11:20:44,120.31,401.0333333
6/25/21,11:30:44,117.775,392.5833333
6/25/21,11:40:44,118.325,394.4166667
